Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994037,10520,,,,7118,75,,,
China,Western Pacific,99361338,6753,805,,805,122248,8,13,,13
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9518,39,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Senegal,Africa,89101,532,2,,2,1971,12,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88428,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8636797,49615,159,1,159,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Azerbaijan,Europe,835468,8240,17,,17,10353,102,,,
Suriname,Americas,82497,14063,,,,1405,240,,,
New Caledonia,Western Pacific,80163,28078,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
French Polynesia,Western Pacific,79309,28233,2,1,2,650,231,,,
Liberia,Africa,7930,157,,,,294,6,,,
Sierra Leone,Africa,7836,98,,,,125,2,,,
Mexico,Americas,7709747,5980,,,,335011,260,,,
Chad,Africa,7702,47,,,,194,1,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
British Virgin Islands,Americas,7478,24731,,,,64,212,,,
Guyana,Americas,74177,9431,,,,1301,165,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cook Islands,Western Pacific,7327,41716,1,6,1,2,11,,,
Belize,Americas,71410,17959,1,,1,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Cyprus,Europe,692543,77989,472,53,472,1446,163,1,,1
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68552,248,,,,1427,5,,,
Indonesia,South-East Asia,6829120,2497,,,,162058,59,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Turks and Caicos Islands,Americas,6755,17447,1,3,1,40,103,,,
Sri Lanka,South-East Asia,672779,3142,,,,16904,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Poland,Europe,6663580,17555,255,1,255,120713,318,1,,1
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,642618,1181,73,,73,19494,36,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Mauritania,Africa,63866,1374,,,,997,21,,,
Colombia,Americas,6386476,12551,264,1,264,142727,281,,,
Palau,Western Pacific,6366,35187,,,,10,55,,,
Republic of Moldova,Europe,635749,15760,21,1,21,12239,303,1,,1
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,610471,45935,,,,2998,226,,,
Austria,Europe,6082339,68333,,,,22534,253,,,
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Portugal,Europe,5649812,54874,2204,21,2204,28324,275,58,1,58
Greece,Europe,5641252,52631,2119,20,2119,39035,364,5,,5
Ukraine,Europe,5531787,12649,15,,15,109920,251,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5400645,28252,76,,76,62721,328,6,,6
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5288841,16341,5217,16,5217,37351,115,1,,1
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51770,52640,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501172,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49051,2204,,,,307,14,,,
Belgium,Europe,4863706,42211,643,6,643,34339,298,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Canada,Americas,4812623,12751,,,,55103,146,,,
Andorra,Europe,48015,62143,,,,159,206,,,
Thailand,South-East Asia,4789165,6861,2881,4,2881,34665,50,7,,7
Czechia,Europe,4759813,44509,156,1,156,43506,407,,,
Honduras,Americas,472826,4774,2,,2,11114,112,,,
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Peru,Americas,4524748,13723,,,,220831,670,,,
Armenia,Europe,451944,15252,,,,8777,296,,,
India,South-East Asia,45040074,3264,38,,38,533619,39,,,
Switzerland,Europe,4454748,51472,250,3,250,14188,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43226,72,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072719,6867,,,,102595,173,,,
Bosnia and Herzegovina,Europe,403649,12303,3,,3,16388,500,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Togo,Africa,39530,477,,,,290,4,,,
Luxembourg,Europe,391729,62566,146,23,146,1000,160,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,38997490,59960,,,,168091,258,,,
Bahamas,Americas,38619,9821,15,4,15,848,216,,,
Guinea,Africa,38572,294,,,,468,4,,,
Germany,Europe,38437756,46218,,,,174979,210,,,
Isle of Man,,38008,44698,,,,116,136,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Brazil,Americas,37511921,17648,,,,702116,330,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Guernsey,,35326,54796,,,,67,104,,,
Romania,Europe,3529682,18261,236,1,236,68805,356,2,,2
North Macedonia,Europe,350609,16829,3,,3,9977,479,,,
Zambia,Africa,349661,1902,,,,4069,22,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Brunei Darussalam,Western Pacific,345096,78883,299,68,299,178,41,,,
Kenya,Africa,344101,640,,,,5689,11,,,
Denmark,Europe,3435018,58993,,,,9667,166,,,
Haiti,Americas,34298,301,,,,860,8,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,335047,11642,,,,3605,125,,,
Mali,Africa,33164,164,,,,743,4,,,
Botswana,Africa,330650,14060,,,,2801,119,,,
Mauritius,Africa,327305,25736,,,,1070,84,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30257,16477,,,,410,223,,,
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2752383,26651,,,,27309,264,,,
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272034,620,,,,6881,16,,,
Italy,Europe,26727644,44814,500,1,500,197081,330,1,,1
Nigeria,Africa,267188,130,,,,3155,2,,,
Zimbabwe,Africa,266365,1792,,,,5740,39,,,
Micronesia (Federated States of),Western Pacific,26460,23004,-87,-76,-87,65,57,,,
New Zealand,Western Pacific,2614723,54222,4870,101,4870,4083,85,20,,20
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25220,457,,,,389,7,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24940968,36739,2813,4,2813,232112,342,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Russian Federation,Europe,24225459,16600,8168,6,8168,403031,276,31,,31
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233825,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2230453,22831,9,,9,49051,502,,,
Burkina Faso,Africa,22129,106,,,,400,2,,,
Lao People's Democratic Republic,Western Pacific,219048,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21578,55689,1,3,1,89,230,,,
Iceland,Europe,210048,57684,35,10,35,186,51,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2050834,1245,131,,131,29496,18,1,,1
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201901,3113,,,,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18823,168,,,,147,1,,,
Slovakia,Europe,1877788,34405,10,,10,21226,389,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1863101,46704,,,,17150,430,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Ireland,Europe,1738493,35019,645,13,645,9639,194,,,
Namibia,Africa,172418,6786,,,,4108,162,,,
Uganda,Africa,172152,376,,,,3632,8,,,
Ghana,Africa,172037,554,,,,1462,5,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004714,20162,,,,101419,120,,,
Tonga,Western Pacific,16966,16052,,,,12,11,,,
Marshall Islands,Western Pacific,16248,27449,,,,17,29,,,
Nicaragua,Americas,16152,244,2,,2,245,4,,,
Dominica,Americas,16047,22290,,,,74,103,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Jamaica,Americas,156892,5298,18,1,18,3600,122,,,
Central African Republic,Africa,15440,320,,,,113,2,,,
Norway,Europe,1508495,28104,263,5,263,5732,107,,,
Kazakhstan,Europe,1504370,8012,,,,19072,102,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Northern Mariana Islands,Western Pacific,14702,25543,5,9,5,41,71,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139256,833,43,,43,3056,18,,,
Lithuania,Europe,1366800,48918,105,4,105,9806,351,,,
Slovenia,Europe,1356013,64700,33,2,33,10062,480,,,
Rwanda,Africa,133252,1029,,,,1468,11,,,
Bulgaria,Europe,1329405,19124,24,,24,38700,557,,,
Croatia,Europe,1317144,32457,,,,18752,462,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Cameroon,Africa,125238,472,,,,1974,7,,,
Guatemala,Americas,1250363,6979,,,,20203,113,,,
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Costa Rica,Americas,1230653,24158,,,,9368,184,,,
Malta,Europe,121628,23637,76,15,76,909,177,2,,2
Bolivia (Plurinational State of),Americas,1212144,10384,,,,22387,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Barbados,Americas,110803,38557,17,6,17,593,206,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Ecuador,Americas,1076545,6102,115,1,115,36050,204,1,,1
Angola,Africa,107468,327,,,,1937,6,,,
Niue,Western Pacific,1074,66378,,,,0,,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1044377,24205,,,,8711,202,2,,2
Uruguay,Americas,1041276,29976,5,,5,7680,221,1,,1
United States of America,Americas,103436829,31250,,,,1189343,359,263,,263
Eritrea,Africa,10189,287,,,,103,3,,,
Argentina,Americas,10132849,22420,85,,85,130867,290,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Democratic Republic of the Congo,Africa,100616,112,,,,1470,2,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
